# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -15.94812116 -122.32631543    7.97455791];[0.7118130313460407, -0.0875168730427901, 0.2975135295687177, -0.9179892514479424]
[-1.59468760e+01 -1.22332168e+02  1.28029784e-10];[0.5081640249666628, -0.08958101161811807, 0.5081640109916383, -0.9213912366619548]
[ -15.94812116 -122.32631545   -7.97455791];[0.2975135424485909, -0.08751688306984443, 0.7118130253864445, -0.917989249593413]
[ -15.94996203 -122.32005581  -15.94996204];[0.0806847846963421, -0.08068478085201689, 0.9069032750227508, -0.9069032833516446]
[ -15.95337472 -122.30606409  -23.92733337];[-0.14191942894291304, -0.06787486536129253, 1.0927750185210747, -0.8868533610948997]
[ -15.9564938  -122.29504458  -31.90338022];[-0.3714267403783326, -0.04701816648510615, 1.2692707338248146, -0.8553340288754028]
[  -7.97836961 -122.29592124  -31.90198076];[-0.36591490700481083, -0.2600076441160474, 1.2835472091041134, -0.665331350454508]
[  -7.97675671 -122.306659    -23.92612177];[-0.13581371365104072, -0.28322114369447626, 1.1054111905532835, -0.6939283086063146]
[  -7.97502409 -122.32038808  -15.94907196];[0.08760295423665239, -0.2976249670153386, 0.9181671479428808, -0.7119706513736948]
[  -7.97350637 -122.33376741   -7.97350638];[0.3052511050025205, -0.3052511198070299, 0.7216682755637828, -0.7216682891584711]
[-7.97285768e+00 -1.22339797e+02 -1.42883005e-09];[0.516917887408373, -0.3075989187588606, 0.5169178616744192, -0.7246811105240147]
[  -7.97350638 -122.33376741    7.97350638];[0.7216682941711632, -0.30525113440747265, 0.30525109937005035, -0.7216682848565896]
[  -7.97502409 -122.32038808   15.94907196];[0.918167163127, -0.2976249601219021, 0.08760294977703319, -0.7119706571058806]
[  -7.97675671 -122.30665904   23.92612176];[1.1054111912969062, -0.2832211695295101, -0.13581370563618306, -0.6939283066760605]
[  -7.9783696  -122.29592125   31.90198076];[1.2835472155593055, -0.26000761793468763, -0.3659149152497329, -0.6653313532677801]
[-1.05459101e-09 -1.22296155e+02  3.19014966e+01];[1.2881428022370516, -0.4664449474709083, -0.3642262724317146, -0.46644492681244304]
[-8.37678347e-10 -1.22306798e+02  2.39257064e+01];[1.109448603127657, -0.49226757110698993, -0.13393170861836243, -0.4922675512964687]
[-2.55940233e-10 -1.22320435e+02  1.59487690e+01];[0.9217433596556008, -0.5084315454683337, 0.089750252228196, -0.5084315366021183]
[-5.22289945e-10 -1.22333829e+02  7.97333843e+00];[0.7248395510564026, -0.517053445411128, 0.3077096818816732, -0.5170534288462958]
[-1.02071516e-09 -1.22345725e+02  8.05732789e-10];[0.5195866747169049, -0.5195867134591737, 0.5195866775447013, -0.519586680832448]
[-1.41553684e-09 -1.22333829e+02 -7.97333844e+00];[0.30770967937388227, -0.5170534519900339, 0.7248395639103649, -0.517053422861473]
[-1.07312844e-09 -1.22320435e+02 -1.59487690e+01];[0.089750257407978, -0.5084315620321871, 0.921743345711188, -0.5084315319710835]
[-6.41696885e-10 -1.22306798e+02 -2.39257064e+01];[-0.13393171968429918, -0.49226756531610744, 1.109448611564944, -0.4922675475401246]
[-1.58292017e-09 -1.22296155e+02 -3.19014966e+01];[-0.3642262692419591, -0.466444956612903, 1.2881428001327817, -0.4664449260208605]
[   7.9783696  -122.29592125  -31.90198075];[-0.36591492199353826, -0.6653313636416816, 1.2835472199868443, -0.2600076089585464]
[   7.97675671 -122.30665902  -23.92612176];[-0.13581371000816525, -0.693928329511728, 1.105411191268479, -0.2832211378228901]
[   7.97502409 -122.32038806  -15.94907197];[0.08760295533029937, -0.7119706790265519, 0.9181671509166471, -0.2976249407272452]
[   7.97350637 -122.33376741   -7.97350638];[0.30525110875543693, -0.7216683032742806, 0.7216682822878345, -0.3052510998017332]
[ 7.97285767e+00 -1.22339797e+02 -3.92663538e-10];[0.516917864985481, -0.7246811278655874, 0.5169178651501872, -0.30759889894299297]
[   7.97350637 -122.3337674     7.97350638];[0.721668291675795, -0.7216682970608377, 0.3052510987577337, -0.3052510950785288]
[   7.97502409 -122.32038806   15.94907196];[0.9181671670214802, -0.7119706725907619, 0.08760294642212668, -0.2976249339331388]
[   7.97675671 -122.30665902   23.92612176];[1.1054111954655579, -0.693928314248357, -0.13581372653279505, -0.2832211277573401]
[   7.9783696  -122.29592126   31.90198075];[1.2835472279246347, -0.6653313767660147, -0.36591492621676974, -0.26000759864206113]
[  15.9564938  -122.29504459   31.9033802 ];[1.2692707402674095, -0.8553340337986932, -0.37142675683849563, -0.047018144545284274]
[  15.95337472 -122.30606408   23.92733337];[1.0927750437625205, -0.8868533722652202, -0.14191944909601523, -0.06787484170921829]
[  15.94996203 -122.32005582   15.94996204];[0.9069032832543579, -0.9069032939150367, 0.08068477211061913, -0.08068476793959395]
[  15.94812116 -122.32631543    7.97455791];[0.7118130422464861, -0.9179892733003594, 0.29751352322975827, -0.08751685629962117]
