# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  7.97980153 -98.43052736  31.94164625];[2.0416400343903804, -1.3794136972888893, 0.003849881433960839, -0.8358840556685274]
[  7.97783272 -98.4541952   23.94651133];[1.8536218439690773, -1.3976192970332448, 0.27900300085477414, -0.848666050061663]
[  7.97554524 -98.4905323   15.95553497];[1.6387914943764315, -1.4001629329134362, 0.5601111202406929, -0.8496796046962545]
[  7.9731158  -98.53373551   7.97311582];[1.3950305717816236, -1.3950306147430838, 0.8451543351213416, -0.8451543211372701]
[ 7.97252873e+00 -9.85436503e+01 -4.99124105e-10];[1.1273804624753876, -1.3921762927783223, 1.1273804495347057, -0.8427317171946556]
[  7.9731158  -98.53373548  -7.97311582];[0.8451543389227844, -1.395030604385732, 1.3950305714384448, -0.845154323148269]
[  7.97554524 -98.49053229 -15.95553497];[0.5601111415815827, -1.4001629017574055, 1.6387914854482666, -0.8496796034375241]
[  7.97783272 -98.45419517 -23.94651133];[0.2790030101271704, -1.397619290263874, 1.8536218369536575, -0.8486660702171064]
[  7.97980154 -98.4305273  -31.94164626];[0.0038498804827756944, -1.3794136938461783, 2.0416400205355876, -0.8358840559386007]
[  7.98214552 -98.40760931 -39.93847816];[-0.26755326379192795, -1.3413686735084018, 2.2089401584917367, -0.8079352561997996]
[-1.49393165e-09 -9.84076768e+01 -3.99376908e+01];[-0.2700103106082531, -1.0810617550828372, 2.2076888930312406, -1.081061725559506]
[-6.08090545e-10 -9.84306429e+01 -3.19410706e+01];[0.0014658030610903705, -1.114454176337773, 2.039383346926838, -1.1144541606533052]
[-4.17941123e-10 -9.84542342e+01 -2.39461497e+01];[0.27670939850035886, -1.1303032521199003, 1.85090551134347, -1.1303032390781436]
[-6.76758457e-10 -9.84905767e+01 -1.59553308e+01];[0.5578964615285402, -1.1323491431835497, 1.636055434577221, -1.1323491231908736]
[-1.03372003e-09 -9.85336733e+01 -7.97303139e+00];[0.8429659006950769, -1.1276787355325781, 1.3925214364374328, -1.127678704709357]
[-7.23999156e-10 -9.85860969e+01 -2.16443121e-10];[1.123839636978999, -1.123839649469793, 1.1238396298373101, -1.1238396290005066]
[-1.83763140e-09 -9.85336733e+01  7.97303140e+00];[1.392521449162353, -1.1276787598266353, 0.8429658905223912, -1.127678705615645]
[-4.91980868e-10 -9.84905768e+01  1.59553308e+01];[1.6360554403114762, -1.1323491373778407, 0.5578964492243457, -1.1323491229568718]
[-6.83573043e-10 -9.84542342e+01  2.39461497e+01];[1.8509055084539296, -1.1303032531898873, 0.27670940058306115, -1.130303233811711]
[-1.24840441e-09 -9.84306430e+01  3.19410706e+01];[2.039383350232235, -1.114454190967366, 0.0014658066684329896, -1.1144541614219625]
[-1.32895268e-09 -9.84076768e+01  3.99376908e+01];[2.207688898131913, -1.081061752416462, -0.2700103105135161, -1.081061723189287]
[ -7.98214552 -98.40760932  39.93847816];[2.2089401661638726, -0.8079352991711476, -0.2675532553928298, -1.341368652613807]
[ -7.97980154 -98.43052732  31.94164626];[2.0416400315411534, -0.8358840778063368, 0.003849892748615344, -1.3794136865335056]
[ -7.97783272 -98.45419522  23.94651133];[1.8536218622592773, -0.8486660850606222, 0.27900299599069694, -1.3976192388334516]
[ -7.97554525 -98.49053229  15.95553497];[1.6387915054366613, -0.849679653422224, 0.5601111280636383, -1.4001628852931542]
[ -7.9731158  -98.53373547   7.97311582];[1.39503057866521, -0.8451543559615439, 0.8451543424402397, -1.39503056311714]
[-7.97252873e+00 -9.85436503e+01 -1.70918874e-10];[1.1273804546693749, -0.8427317211301342, 1.1273804500453095, -1.3921762554311543]
[ -7.9731158  -98.53373552  -7.97311582];[0.8451543386748124, -0.8451543451768706, 1.395030571287091, -1.3950305623263854]
[ -7.97554524 -98.49053233 -15.95553497];[0.5601111239004993, -0.8496796251074155, 1.6387914850024057, -1.4001628861425603]
[ -7.97783272 -98.45419522 -23.94651133];[0.2790029995282101, -0.848666106133015, 1.853621831768948, -1.3976192360756567]
[ -7.97980153 -98.43052736 -31.94164625];[0.0038498740018530625, -0.83588406302657, 2.041640017091795, -1.3794136841361468]
[ -7.98214552 -98.40760927 -39.93847817];[-0.2675532599742865, -0.8079352839156587, 2.2089401825028903, -1.341368659357231]
[-15.96802384 -98.40693333 -39.94057677];[-0.2621733675229173, -0.5321605887799641, 2.2090120996135783, -1.5787830116803552]
[-15.96394261 -98.42965952 -31.94322882];[0.008789377046463986, -0.5547831922974679, 2.0442471675492198, -1.6202210567198398]
[-15.9603986  -98.45348366 -23.94757097];[0.28342954544325794, -0.5643481232190632, 1.8574137975766827, -1.6399978317901882]
[-15.95619839 -98.48973685 -15.95619843];[0.5640166674995576, -0.564016681712442, 1.642742045608334, -1.6427420403438562]
[-15.95467292 -98.50002909  -7.97507382];[0.8494464615097258, -0.5599369909345058, 1.3998208966174155, -1.638428690421292]
[-1.59536155e+01 -9.85093823e+01 -4.99911021e-10];[1.1317714358843811, -0.5575576239583335, 1.1317714226227837, -1.6353467228287037]
